country,population,year
CPV,438454,2001
CPV,446704,2002
CPV,454825,2003
CPV,462795,2004
CPV,470597,2005
CPV,478309,2006
CPV,485994,2007
CPV,493619,2008
CPV,501182,2009
CPV,508659,2010
CPV,516100,2011
CPV,523568,2012
CPV,531046,2013
CPV,538535,2014
CPV,545993,2015
CPV,553432,2016
CPV,560899,2017
CPV,568373,2018
CPV,575839,2019
CRI,3800169,1999
CRI,3882581,2000
CRI,3956208,2001
CRI,4020945,2002
CRI,4083816,2003
CRI,4146696,2004
CRI,4208691,2005
CRI,4269766,2006
CRI,4331130,2007
CRI,4393241,2008
CRI,4455046,2009
CRI,4516220,2010
CRI,4576562,2011
CRI,4636348,2012
CRI,4695942,2013
CRI,4755234,2014
CRI,4814144,2015
CRI,4872543,2016
CRI,4930258,2017
CRI,4987142,2018
CRI,5043084,2019
CUB,11107797,1999
CUB,11146699,2000
CUB,11178711,2001
CUB,11210056,2002
CUB,11240950,2003
CUB,11260196,2004
CUB,11267709,2005
CUB,11266419,2006
CUB,11261457,2007
CUB,11258324,2008
CUB,11260468,2009
CUB,11261880,2010
CUB,11263757,2011
CUB,11261601,2012
CUB,11250491,2013
CUB,11237982,2014
CUB,11214038,2015
CUB,11179995,2016
CUB,11147407,2017
CUB,11116396,2018
CUB,11086996,2019
CYP,906875,1999
CYP,919680,2000
CYP,932632,2001
CYP,946814,2002
CYP,964652,2003
CYP,987191,2004
CYP,1010740,2005
CYP,1031030,2006
CYP,1048906,2007
CYP,1066817,2008
CYP,1084748,2009
CYP,1102677,2010
CYP,1120489,2011
CYP,1138071,2012
CYP,1155403,2013
CYP,1172458,2014
CYP,1189197,2015
CYP,1205575,2016
CYP,1221549,2017
CYP,1237088,2018
CYP,1252147,2019
CZE,10280436,1999
CZE,10268899,2000
CZE,10250327,2001
CZE,10235948,2002
CZE,10238458,2003
CZE,10247111,2004
CZE,10266923,2005
CZE,10300228,2006
CZE,10365253,2007
CZE,10455429,2008
CZE,10518271,2009
CZE,10550885,2010
CZE,10573220,2011
CZE,10591707,2012
CZE,10609762,2013
CZE,10627448,2014
CZE,10644842,2015
CZE,10660932,2016
CZE,10674723,2017
CZE,10686269,2018
CZE,10695547,2019
DEU,82074778,1999
DEU,82183670,2000
DEU,82320660,2001
DEU,82458415,2002
DEU,82504552,2003
DEU,82487209,2004
