country,expectancy,year
EGY,71.302,2015
EGY,71.482,2016
EGY,71.656,2017
EGY,71.825,2018
EGY,71.99,2019
ERI,54.707,1999
ERI,55.273,2000
ERI,55.864,2001
ERI,56.5,2002
ERI,57.191,2003
ERI,57.932,2004
ERI,58.707,2005
ERI,59.487,2006
ERI,60.243,2007
ERI,60.952,2008
ERI,61.602,2009
ERI,62.193,2010
ERI,62.732,2011
ERI,63.238,2012
ERI,63.726,2013
ERI,64.201,2014
ERI,64.664,2015
ERI,65.111,2016
ERI,65.538,2017
ERI,65.941,2018
ERI,66.321,2019
ESP,78.71707317,1999
ESP,78.96585366,2000
ESP,79.36829268,2001
ESP,79.56829268,2002
ESP,79.6195122,2003
ESP,79.87073171,2004
ESP,80.17073171,2005
ESP,80.82195122,2006
ESP,80.87317073,2007
ESP,81.17560976,2008
ESP,81.47560976,2009
ESP,81.62682927,2010
ESP,82.47560976,2011
ESP,82.42682927,2012
ESP,83.07804878,2013
ESP,83.22926829,2014
ESP,82.83170732,2015
ESP,83.32926829,2016
ESP,83.28292683,2017
ESP,83.43170732,2018
ESP,83.48536585,2019
EST,70.06341463,1999
EST,70.41707317,2000
EST,70.25853659,2001
EST,70.90487805,2002
EST,71.31707317,2003
EST,71.9097561,2004
EST,72.56829268,2005
EST,72.69146341,2006
EST,72.81463415,2007
EST,73.77073171,2008
EST,74.82439024,2009
EST,75.42926829,2010
EST,76.22926829,2011
EST,76.32682927,2012
EST,77.14146341,2013
EST,77.03414634,2014
EST,77.5902439,2015
EST,77.64146341,2016
EST,78.09268293,2017
EST,78.24390244,2018
EST,78.49756098,2019
ETH,51.366,1999
ETH,51.941,2000
ETH,52.595,2001
ETH,53.349,2002
ETH,54.211,2003
ETH,55.174,2004
ETH,56.223,2005
ETH,57.334,2006
ETH,58.467,2007
ETH,59.581,2008
ETH,60.645,2009
ETH,61.627,2010
ETH,62.505,2011
ETH,63.281,2012
ETH,63.961,2013
ETH,64.547,2014
ETH,65.048,2015
ETH,65.482,2016
ETH,65.872,2017
ETH,66.24,2018
ETH,66.597,2019
FIN,77.29121951,1999
FIN,77.46585366,2000
FIN,77.96585366,2001
FIN,78.1195122,2002
FIN,78.36829268,2003
FIN,78.71463415,2004
FIN,78.81707317,2005
FIN,79.21463415,2006
FIN,79.26341463,2007
FIN,79.56829268,2008
FIN,79.7195122,2009
FIN,79.87073171,2010
FIN,80.47073171,2011
FIN,80.62682927,2012
FIN,80.97560976,2013
FIN,81.1804878,2014
FIN,81.4804878,2015
FIN,81.42926829,2016
FIN,81.63170732,2017
FIN,81.73414634,2018
FIN,81.78536585,2019
FJI,65.512,1999
FJI,65.687,2000
FJI,65.863,2001
FJI,66.022,2002
FJI,66.152,2003
FJI,66.247,2004
FJI,66.313,2005
FJI,66.362,2006
FJI,66.413,2007
FJI,66.477,2008
FJI,66.559,2009
FJI,66.655,2010
FJI,66.759,2011
FJI,66.859,2012
FJI,66.95,2013
FJI,67.03,2014
FJI,67.103,2015
FJI,67.175,2016
FJI,67.252,2017
FJI,67.341,2018
FJI,67.444,2019
FRA,78.75609756,1999
FRA,79.05609756,2000
FRA,79.15853659,2001
FRA,79.26097561,2002
FRA,79.11463415,2003
FRA,80.16341463,2004
