country,rate,year
GIN,,1975
GIN,22.4,1980
GIN,,1985
GIN,31,1990
GIN,35.9,1995
GIN,41,2000
GIN,29.7,2005
GIN,51.6,2010
GMB,,1905
GMB,,1900
GMB,,1910
GMB,,1915
GMB,,1920
GMB,,1925
GMB,,1930
GMB,,1935
GMB,,1940
GMB,40.5,1945
GMB,,1950
GMB,,1955
GMB,,1960
GMB,,1965
GMB,,1970
GMB,,1975
GMB,24.5,1980
GMB,,1985
GMB,33.7,1990
GMB,38.6,1995
GMB,43.4,2000
GMB,,2005
GMB,53.3,2010
GNB,,1905
GNB,,1900
GNB,,1910
GNB,,1915
GNB,,1920
GNB,,1925
GNB,,1930
GNB,,1935
GNB,,1940
GNB,,1945
GNB,,1950
GNB,,1955
GNB,4.9,1960
GNB,,1965
GNB,,1970
GNB,,1975
GNB,39.1,1980
GNB,,1985
GNB,49.5,1990
GNB,54.9,1995
GNB,60.2,2000
GNB,,2005
GNB,70,2010
GNQ,,1905
GNQ,,1900
GNQ,,1910
GNQ,,1915
GNQ,,1920
GNQ,,1925
GNQ,,1930
GNQ,,1935
GNQ,,1940
GNQ,,1945
GNQ,22.5,1950
GNQ,,1955
GNQ,,1960
GNQ,,1965
GNQ,,1970
GNQ,,1975
GNQ,60.4,1980
GNQ,,1985
GNQ,73.2,1990
GNQ,78.5,1995
GNQ,88.3,2000
GNQ,,2005
GNQ,93.9,2010
GRC,39.5,1905
GRC,,1900
GRC,,1910
GRC,,1915
GRC,53.9,1920
GRC,,1925
GRC,58.1,1930
GRC,,1935
GRC,,1940
GRC,,1945
GRC,74.1,1950
GRC,,1955
GRC,80.4,1960
GRC,,1965
GRC,84.4,1970
GRC,,1975
GRC,90.5,1980
GRC,,1985
GRC,92.6,1990
GRC,,1995
GRC,96,2000
GRC,,2005
GRC,97.2,2010
GTM,,1905
GTM,,1900
GTM,,1910
GTM,,1915
GTM,13.2,1920
GTM,,1925
GTM,,1930
GTM,,1935
GTM,32.6,1940
GTM,,1945
GTM,29.4,1950
GTM,,1955
GTM,31.5,1960
GTM,37.9,1965
GTM,,1970
GTM,46,1975
GTM,48.7,1980
GTM,,1985
GTM,53.3,1990
GTM,64.2,1995
GTM,69.1,2000
GTM,,2005
GTM,75.2,2010
GUY,,1905
GUY,,1900
GUY,43.7,1910
GUY,,1915
GUY,47.9,1920
GUY,,1925
GUY,67.7,1930
GUY,,1935
GUY,,1940
GUY,75.5,1945
GUY,,1950
GUY,,1955
GUY,87.1,1960
GUY,,1965
GUY,80.1,1970
GUY,,1975
GUY,94.8,1980
GUY,,1985
GUY,97.2,1990
GUY,98.1,1995
GUY,98.6,2000
GUY,,2005
GUY,99.3,2010
HND,,1905
HND,,1900
HND,,1910
HND,,1915
HND,,1920
HND,26.1,1925
HND,33.3,1930
HND,32.6,1935
HND,34.7,1940
HND,36.3,1945
HND,35.2,1950
HND,,1955
HND,45,1960
HND,,1965
HND,56.9,1970
HND,,1975
HND,62.3,1980
HND,,1985
HND,69.4,1990
HND,72.7,1995
HND,80,2000
HND,83.6,2005
HND,84.8,2010
HRV,,1905
HRV,,1900
HRV,,1910
HRV,,1915
HRV,,1920
HRV,,1925
HRV,,1930
HRV,,1935
HRV,,1940
HRV,,1945
HRV,,1950
HRV,,1955
HRV,,1960
HRV,,1965
HRV,,1970
HRV,,1975
HRV,,1980
HRV,,1985
HRV,96.7,1990
HRV,,1995
HRV,98.1,2000
HRV,,2005
HRV,98.8,2010
HTI,,1905
HTI,,1900
HTI,,1910
HTI,,1915
HTI,,1920
HTI,,1925
HTI,,1930
HTI,,1935
HTI,,1940
HTI,,1945
HTI,10.5,1950
HTI,,1955
HTI,14.5,1960
HTI,,1965
HTI,19.6,1970
HTI,,1975
HTI,34.7,1980
HTI,,1985
HTI,41,1990
HTI,45,1995
HTI,49.4,2000
HTI,,2005
HTI,57.7,2010
HUN,,1905
HUN,60.1,1900
HUN,67.7,1910
HUN,,1915
HUN,86.6,1920
HUN,,1925
HUN,90,1930
HUN,,1935
HUN,93.6,1940
HUN,,1945
HUN,95.3,1950
HUN,,1955
HUN,96.9,1960
HUN,97.4,1965
HUN,98,1970
HUN,,1975
HUN,98.9,1980
HUN,,1985
HUN,99,1990
HUN,99,1995
HUN,99,2000
HUN,99,2005
HUN,99,2010
IDN,,1905
IDN,,1900
IDN,,1910
IDN,,1915
IDN,,1920
IDN,,1925
IDN,,1930
IDN,,1935
IDN,,1940
IDN,,1945
